NAME                                      VERSION                               TYPE                      
Simple Launcher                           1.1.0.14                              binary  (+11 duplicates)  
adduser                                   3.152                                 deb                       
aiofiles                                  25.1.0                                python                    
aiohappyeyeballs                          2.7.1                                 python                    
aiohttp                                   3.14.3                                python                    
aiosignal                                 1.4.0                                 python                    
alembic                                   1.19.1                                python                    
amqp                                      5.3.1                                 python                    
annotated-doc                             0.0.5                                 python                    
annotated-types                           0.8.0                                 python                    
antlr4-python3-runtime                    4.9.3                                 python                    
anyio                                     4.14.2                                python                    
apt                                       3.0.3                                 deb                       
argon2-cffi                               25.1.0                                python                    
argon2-cffi-bindings                      25.1.0                                python                    
assemblyai                                0.64.33                               python                    
asteroid-filterbanks                      0.4.0                                 python                    
attrs                                     26.1.0                                python                    
autocommand                               2.2.2                                 python                    
av                                        18.0.0                                python                    
azure-cognitiveservices-speech            1.51.1                                python                    
azure-core                                1.41.0                                python                    
backports-tarfile                         1.2.0                                 python                    
base-files                                13.8+deb13u6                          deb                       
base-passwd                               3.6.7                                 deb                       
bash                                      5.2.37-2+b9                           deb                       
bcrypt                                    4.3.0                                 python                    
billiard                                  4.2.4                                 python                    
blis                                      1.3.3                                 python                    
boto3                                     1.43.67                               python                    
botocore                                  1.43.67                               python                    
brotli                                    1.2.0                                 python                    
bsdutils                                  1:2.41-5                              deb                       
ca-certificates                           20250419                              deb                       
cachetools                                7.1.7                                 python                    
catalogue                                 2.0.10                                python                    
celery                                    5.6.3                                 python                    
certifi                                   2026.7.22                             python                    
cffi                                      2.1.1                                 python                    
charset-normalizer                        3.4.9                                 python                    
cli                                       UNKNOWN                               binary                    
cli-32                                    UNKNOWN                               binary                    
cli-64                                    UNKNOWN                               binary                    
cli-arm64                                 UNKNOWN                               binary                    
click                                     8.4.2                                 python                    
click-didyoumean                          0.3.1                                 python                    
click-plugins                             1.1.1.2                               python                    
click-repl                                0.3.0                                 python                    
cloudpathlib                              0.24.0                                python                    
colorlog                                  6.12.0                                python                    
confection                                1.3.3                                 python                    
contourpy                                 1.3.3                                 python                    
coreutils                                 9.7-3                                 deb                       
cryptography                              50.0.0                                python                    
ctranslate2                               4.8.1                                 python                    
cuda-bindings                             12.9.7                                python                    
cuda-pathfinder                           1.6.0                                 python                    
cuda-toolkit                              12.8.1                                python                    
curl                                      8.14.1-2+deb13u4                      deb                       
cycler                                    0.12.1                                python                    
cymem                                     2.0.13                                python                    
cython                                    3.2.9                                 python                    
dash                                      0.5.12-12                             deb                       
debconf                                   1.5.91                                deb                       
debian-archive-keyring                    2025.1                                deb                       
debianutils                               5.23.2                                deb                       
deepgram-sdk                              7.6.0                                 python                    
defusedxml                                0.7.1                                 python                    
deprecated                                1.3.1                                 python                    
detoxify                                  0.5.2                                 python                    
diffutils                                 1:3.10-4                              deb                       
distro                                    1.9.0                                 python                    
dnspython                                 2.8.0                                 python                    
dpkg                                      1.22.22                               deb                       
einops                                    0.8.2                                 python                    
email-validator                           2.3.0                                 python                    
events                                    0.5                                   python                    
fastapi                                   0.136.3                               python                    
faster-whisper                            1.2.1                                 python                    
ffmpeg                                    7:7.1.5-0+deb13u1                     deb                       
ffmpeg-python                             0.2.0                                 python                    
filelock                                  3.32.2                                python                    
findutils                                 4.10.0-3                              deb                       
flatbuffers                               25.12.19                              python                    
flower                                    2.0.1                                 python                    
fontconfig                                2.15.0-2.3                            deb                       
fontconfig-config                         2.15.0-2.3                            deb                       
fonts-dejavu-core                         2.37-8                                deb                       
fonts-dejavu-mono                         2.37-8                                deb                       
fonttools                                 4.63.0                                python                    
frozenlist                                1.8.0                                 python                    
fsspec                                    2026.7.0                              python                    
future                                    1.0.0                                 python                    
