NAME           INSTALLED   TYPE  VULNERABILITY   SEVERITY  EPSS         RISK  
tiff           4.7.1-r0    apk   CVE-2023-52356  High      2.2% (80th)  1.6   
tiff           4.7.1-r0    apk   CVE-2023-6277   Medium    1.8% (76th)  1.0   
curl           8.20.0-r0   apk   CVE-2026-11856  Critical  0.6% (45th)  0.6   
curl           8.20.0-r0   apk   CVE-2026-8925   Critical  0.6% (45th)  0.6   
curl           8.20.0-r0   apk   CVE-2026-9079   Critical  0.6% (44th)  0.5   
curl           8.20.0-r0   apk   CVE-2026-8924   Critical  0.6% (43rd)  0.5   
curl           8.20.0-r0   apk   CVE-2026-10536  Critical  0.5% (40th)  0.5   
curl           8.20.0-r0   apk   CVE-2026-11352  High      0.6% (44th)  0.4   
tiff           4.7.1-r0    apk   CVE-2026-4775   High      0.6% (43rd)  0.4   
curl           8.20.0-r0   apk   CVE-2026-8927   Critical  0.4% (36th)  0.4   
curl           8.20.0-r0   apk   CVE-2026-11586  High      0.5% (39th)  0.4   
curl           8.20.0-r0   apk   CVE-2026-8926   Critical  0.4% (30th)  0.3   
curl           8.20.0-r0   apk   CVE-2026-11564  Critical  0.4% (29th)  0.3   
curl           8.20.0-r0   apk   CVE-2026-9546   High      0.4% (32nd)  0.3   
curl           8.20.0-r0   apk   CVE-2026-8932   High      0.4% (32nd)  0.3   
curl           8.20.0-r0   apk   CVE-2026-12064  High      0.3% (26th)  0.3   
curl           8.20.0-r0   apk   CVE-2026-9547   High      0.3% (25th)  0.2   
curl           8.20.0-r0   apk   CVE-2026-8286   High      0.3% (23rd)  0.2   
curl           8.20.0-r0   apk   CVE-2026-9080   High      0.3% (21st)  0.2   
curl           8.20.0-r0   apk   CVE-2026-9545   High      0.3% (18th)  0.2   
tiff           4.7.1-r0    apk   CVE-2023-6228   Medium    0.4% (32nd)  0.2   
curl           8.20.0-r0   apk   CVE-2026-8458   Medium    0.3% (23rd)  0.2   
busybox        1.37.0-r30  apk   CVE-2025-60876  Medium    0.3% (21st)  0.2   
busybox-binsh  1.37.0-r30  apk   CVE-2025-60876  Medium    0.3% (21st)  0.2   
ssl_client     1.37.0-r30  apk   CVE-2025-60876  Medium    0.3% (21st)  0.2   
nghttp2-libs   1.69.0-r0   apk   CVE-2026-58055  Medium    0.3% (17th)  0.1
