Package,License,Status,Reason
adduser,GPL-2.0-only AND GPL-2.0-or-later,BLOCKER,no acceptable option in OR expression: GPL-2.0-only AND GPL-2.0-or-later
apt,BSD-3-Clause AND GPL-2.0-only AND GPL-2.0-or-later AND MIT AND curl,BLOCKER,no acceptable option in OR expression: BSD-3-Clause AND GPL-2.0-only AND GPL-2.0-or-later AND MIT AND curl
base-files,GPL-2.0-only AND GPL-2.0-or-later AND verbatim,BLOCKER,no acceptable option in OR expression: GPL-2.0-only AND GPL-2.0-or-later AND verbatim
base-passwd,GPL-2.0-only AND public-domain,BLOCKER,"AND expression, worst component governs: GPL-2.0-only AND public-domain"
bash,BSD-4-Clause-UC AND GFDL-1.3-no-invariants-only AND GFDL-1.3-only AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3+ with Bison exception AND GPL-3.0-only AND GPL-3.0-or-later AND Latex2e AND MIT AND permissive,BLOCKER,no acceptable option in OR expression: BSD-4-Clause-UC AND GFDL-1.3-no-invariants-only AND GFDL-1.3-only AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3+ with Bison exception AND GPL-3.0-only AND GPL-3.0-or-later AND Latex2e AND MIT AND permissive
bsdutils,BSD-2-Clause AND BSD-3-Clause AND BSD-4-Clause AND BSLA AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND ISC AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND MIT AND public-domain,BLOCKER,no acceptable option in OR expression: BSD-2-Clause AND BSD-3-Clause AND BSD-4-Clause AND BSLA AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND ISC AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND MIT AND public-domain
ca-certificates,GPL-2.0-only AND GPL-2.0-or-later AND MPL-2.0,BLOCKER,no acceptable option in OR expression: GPL-2.0-only AND GPL-2.0-or-later AND MPL-2.0
coreutils,BSD-4-Clause-UC AND FSFULLR AND GFDL-1.3-no-invariants-only AND GFDL-1.3-only AND GPL-3.0-only AND GPL-3.0-or-later AND ISC,BLOCKER,no acceptable option in OR expression: BSD-4-Clause-UC AND FSFULLR AND GFDL-1.3-no-invariants-only AND GFDL-1.3-only AND GPL-3.0-only AND GPL-3.0-or-later AND ISC
curl,BSD-3-Clause AND BSD-4-Clause-UC AND FSFULLR AND GPL-2+ with Autoconf-data exception AND GPL-2+ with Libtool exception AND GPL-2.0-only AND GPL-3+ with Autoconf-data exception AND ISC AND OLDAP-2.8 AND X11 AND curl,BLOCKER,"AND expression, worst component governs: BSD-3-Clause AND BSD-4-Clause-UC AND FSFULLR AND GPL-2+ with Autoconf-data exception AND GPL-2+ with Libtool exception AND GPL-2.0-only AND GPL-3+ with Autoconf-data exception AND ISC AND OLDAP-2.8 AND X11 AND curl"
dash,BSD-3-Clause AND GPL-2.0-only AND GPL-2.0-or-later AND public-domain,BLOCKER,no acceptable option in OR expression: BSD-3-Clause AND GPL-2.0-only AND GPL-2.0-or-later AND public-domain
debconf,BSD-2-Clause,OK,permissive
debian-archive-keyring,GPL-2.0-or-later,BLOCKER,no acceptable option in OR expression: GPL-2.0-or-later
debianutils,GPL-2.0-only AND GPL-2.0-or-later AND SMAIL-GPL AND public-domain,BLOCKER,no acceptable option in OR expression: GPL-2.0-only AND GPL-2.0-or-later AND SMAIL-GPL AND public-domain
diffutils,FSFAP AND FSFULLR AND GFDL-1.3-no-invariants-only AND GFDL-1.3-only AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3+ with texinfo exception AND GPL-3.0-only AND GPL-3.0-or-later AND GPL-3.0-with-autoconf-exception+ AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND X11 AND public-domain,BLOCKER,no acceptable option in OR expression: FSFAP AND FSFULLR AND GFDL-1.3-no-invariants-only AND GFDL-1.3-only AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3+ with texinfo exception AND GPL-3.0-only AND GPL-3.0-or-later AND GPL-3.0-with-autoconf-exception+ AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND X11 AND public-domain
dirmngr,BSD-3-Clause AND CC0-1.0 AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND MIT AND RFC-Reference AND TinySCHEME AND permissive,BLOCKER,no acceptable option in OR expression: BSD-3-Clause AND CC0-1.0 AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND MIT AND RFC-Reference AND TinySCHEME AND permissive
dpkg,GPL-2.0-only AND GPL-2.0-or-later AND public-domain-s-s-d,BLOCKER,no acceptable option in OR expression: GPL-2.0-only AND GPL-2.0-or-later AND public-domain-s-s-d
ffmpeg,BSD-1-clause AND BSD-2-Clause AND BSD-3-Clause AND BSL-1.0 AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND IJG AND ISC AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND MIT AND Sundry AND Zlib AND man-page AND public-domain,BLOCKER,no acceptable option in OR expression: BSD-1-clause AND BSD-2-Clause AND BSD-3-Clause AND BSL-1.0 AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND IJG AND ISC AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND MIT AND Sundry AND Zlib AND man-page AND public-domain
