Package,Author,License,Status,Reason,URL
Cython,"Robert Bradshaw, Stefan Behnel, David Woods, Greg Ewing, et al.",Apache-2.0,OK,permissive,https://cython.org/
Deprecated,Laurent LAPORTE,MIT,OK,permissive,https://github.com/laurent-laporte-pro/deprecated
Events,Nicola Iarocci,BSD-3-Clause,OK,permissive,http://github.com/pyeve/events
Jinja2,UNKNOWN,BSD-3-Clause,OK,permissive,https://github.com/pallets/jinja/
Mako,Mike Bayer <mike@zzzcomputing.com>,MIT,OK,permissive,https://www.makotemplates.org/
MarkupSafe,UNKNOWN,BSD-3-Clause,OK,permissive,https://github.com/pallets/markupsafe/
PyExifTool,"Kevin M (sylikc), Sven Marnach, various contributors",BSD-3-Clause OR GPL-3.0-or-later,OK,satisfied by an OR'd permissive option: BSD-3-Clause OR GPL-3.0-or-later,http://github.com/sylikc/pyexiftool
PyJWT,Jose Padilla <hello@jpadilla.com>,MIT,OK,permissive,https://github.com/jpadilla/pyjwt
PyOTP,Andrey Kislyuk,MIT,OK,permissive,https://github.com/pyauth/pyotp
PyYAML,Kirill Simonov,MIT,OK,permissive,https://pyyaml.org/
Pygments,Georg Brandl <georg@python.org>,BSD-2-Clause,OK,permissive,https://pygments.org
SQLAlchemy,Mike Bayer,MIT,OK,permissive,https://www.sqlalchemy.org
aiofiles,Tin Tvrtkovic <tinchester@gmail.com>,Apache-2.0,OK,permissive,https://github.com/Tinche/aiofiles
aiohappyeyeballs,J. Nick Koston,Python Software Foundation License,OK,permissive,https://github.com/aio-libs/aiohappyeyeballs
aiohttp,UNKNOWN,Apache-2.0 AND MIT,OK,"AND expression, worst component governs: Apache-2.0 AND MIT",https://github.com/aio-libs/aiohttp
aiosignal,UNKNOWN,Apache-2.0,OK,permissive,https://github.com/aio-libs/aiosignal
alembic,Mike Bayer <mike_mp@zzzcomputing.com>,MIT,OK,permissive,https://alembic.sqlalchemy.org
amqp,Barry Pederson,BSD-3-Clause,OK,permissive,http://github.com/celery/py-amqp
annotated-doc,=?utf-8?q?Sebasti=C3=A1n_Ram=C3=ADrez?= <tiangolo@gmail.com>,MIT,OK,permissive,https://github.com/fastapi/annotated-doc
annotated-types,"Adrian Garcia Badaracco <1755071+adriangb@users.noreply.github.com>, Samuel Colvin <s@muelcolvin.com>, Zac Hatfield-Dodds <zac@zhd.dev>",MIT,OK,permissive,https://github.com/annotated-types/annotated-types
antlr4-python3-runtime,"Eric Vergnaud, Terence Parr, Sam Harwell",BSD-3-Clause,OK,permissive,http://www.antlr.org
anyio,Alex Grönholm <alex.gronholm@nextday.fi>,MIT,OK,permissive,https://anyio.readthedocs.io/en/stable/versionhistory.html
argon2-cffi,Hynek Schlawack <hs@ox.cx>,MIT,OK,permissive,https://github.com/hynek/argon2-cffi/blob/main/CHANGELOG.md
argon2-cffi-bindings,Hynek Schlawack <hs@ox.cx>,MIT,OK,permissive,https://github.com/hynek/argon2-cffi-bindings/blob/main/CHANGELOG.md
assemblyai,AssemblyAI,MIT,OK,permissive,https://github.com/AssemblyAI/assemblyai-python-sdk
asteroid-filterbanks,Manuel Pariente,MIT,OK,permissive,https://github.com/asteroid-team/asteroid-filterbanks
attrs,Hynek Schlawack <hs@ox.cx>,MIT,OK,permissive,https://www.attrs.org/en/stable/changelog.html
autocommand,,LGPL-3.0-only,REVIEW,weak copyleft,
av,"WyattBlue <wyattblue@auto-editor.com>, Jeremy Lainé <jeremy.laine@m4x.org>",BSD-3-Clause,OK,permissive,https://pyav.basswood.io
azure-cognitiveservices-speech,Microsoft,Other/Proprietary License,PROPRIETARY-REVIEW,vendor EULA / proprietary license marker 'other/proprietary license',UNKNOWN
azure-core,Microsoft Corporation <azpysdkhelp@microsoft.com>,MIT,OK,permissive,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/core/azure-core
backports.tarfile,,MIT,OK,permissive,
bcrypt,The Python Cryptographic Authority developers <cryptography-dev@python.org>,Apache-2.0,OK,permissive,https://github.com/pyca/bcrypt/
billiard,R Oudkerk / Python Software Foundation,BSD-3-Clause,OK,permissive,https://github.com/celery/billiard
blis,Matthew Honnibal,BSD-3-Clause,OK,permissive,https://github.com/explosion/cython-blis
boto3,Amazon Web Services,Apache-2.0,OK,permissive,https://github.com/boto/boto3
botocore,Amazon Web Services,Apache-2.0,OK,permissive,https://github.com/boto/botocore
brotli,The Brotli Authors,MIT,OK,permissive,https://github.com/google/brotli
cachetools,Thomas Kemmer <tkemmer@computer.org>,MIT,OK,permissive,https://github.com/tkem/cachetools/
catalogue,Explosion,MIT,OK,permissive,https://github.com/explosion/catalogue
celery,Ask Solem,BSD-3-Clause,OK,permissive,https://docs.celeryq.dev/
certifi,Kenneth Reitz,MPL-2.0,REVIEW,weak copyleft,https://github.com/certifi/python-certifi
cffi,"Armin Rigo, Maciej Fijalkowski",MIT,OK,permissive,https://cffi.readthedocs.io/en/latest/whatsnew.html
charset-normalizer,"""Ahmed R. TAHRI"" <tahri.ahmed@proton.me>",MIT,OK,permissive,https://github.com/jawah/charset_normalizer/blob/master/CHANGELOG.md
click,UNKNOWN,BSD-3-Clause,OK,permissive,https://github.com/pallets/click/
click-didyoumean,Timo Furrer,MIT,OK,permissive,https://github.com/click-contrib/click-didyoumean
click-plugins,"Kevin Wurster, Sean Gillies",BSD-3-Clause,OK,permissive,https://github.com/click-contrib/click-plugins
click-repl,Markus Unterwaditzer,MIT,OK,permissive,https://github.com/click-contrib/click-repl
cloudpathlib,DrivenData <info@drivendata.org>,MIT,OK,permissive,https://github.com/drivendataorg/cloudpathlib
