Package,Version,License,Status,Reason,Repository,Publisher
@adobe/css-tools,4.5.0,MIT,OK,permissive,https://github.com/adobe/css-tools,TJ Holowaychuk
@asamuzakjp/css-color,7.0.1,MIT,OK,permissive,https://github.com/asamuzaK/cssColor,asamuzaK
@asamuzakjp/dom-selector,9.2.1,MIT,OK,permissive,https://github.com/asamuzaK/domSelector,asamuzaK
@babel/code-frame,7.29.7,MIT,OK,permissive,https://github.com/babel/babel,The Babel Team
@babel/helper-string-parser,7.29.7,MIT,OK,permissive,https://github.com/babel/babel,The Babel Team
@babel/helper-validator-identifier,7.29.7,MIT,OK,permissive,https://github.com/babel/babel,The Babel Team
@babel/parser,7.29.9,MIT,OK,permissive,https://github.com/babel/babel,The Babel Team
@babel/runtime,7.29.7,MIT,OK,permissive,https://github.com/babel/babel,The Babel Team
@babel/types,7.29.8,MIT,OK,permissive,https://github.com/babel/babel,The Babel Team
@bcoe/v8-coverage,1.0.2,MIT,OK,permissive,https://github.com/bcoe/v8-coverage,Charles Samborski
@bramus/specificity,2.4.2,MIT,OK,permissive,https://github.com/bramus/specificity,Bramus Van Damme
@cacheable/memory,2.2.0,MIT,OK,permissive,https://github.com/jaredwray/cacheable,Jared Wray
@cacheable/utils,2.5.0,MIT,OK,permissive,https://github.com/jaredwray/cacheable,Jared Wray
@csstools/color-helpers,6.1.1,MIT-0,OK,permissive,https://github.com/csstools/postcss-plugins,
@csstools/css-calc,3.4.0,MIT,OK,permissive,https://github.com/csstools/postcss-plugins,
@csstools/css-color-parser,4.2.3,MIT,OK,permissive,https://github.com/csstools/postcss-plugins,
@csstools/css-parser-algorithms,4.0.0,MIT,OK,permissive,https://github.com/csstools/postcss-plugins,
@csstools/css-syntax-patches-for-csstree,1.1.14,MIT-0,OK,permissive,https://github.com/csstools/postcss-plugins,
@csstools/css-tokenizer,4.0.1,MIT,OK,permissive,https://github.com/csstools/postcss-plugins,
@dependents/detective-less,5.0.3,MIT,OK,permissive,https://github.com/dependents/node-detective-less,Joel Kemp
@discoveryjs/json-ext,1.1.0,MIT,OK,permissive,https://github.com/discoveryjs/json-ext,Roman Dvornov
@eslint-community/eslint-utils,4.10.1,MIT,OK,permissive,https://github.com/eslint-community/eslint-utils,Toru Nagashima
@eslint-community/regexpp,4.12.2,MIT,OK,permissive,https://github.com/eslint-community/regexpp,Toru Nagashima
@eslint/config-array,0.23.5,Apache-2.0,OK,permissive,https://github.com/eslint/rewrite,Nicholas C. Zakas
@eslint/config-helpers,0.7.0,Apache-2.0,OK,permissive,https://github.com/eslint/rewrite,
@eslint/core,1.2.1,Apache-2.0,OK,permissive,https://github.com/eslint/rewrite,Nicholas C. Zakas
@eslint/js,10.0.1,MIT,OK,permissive,https://github.com/eslint/eslint,
@eslint/object-schema,3.0.5,Apache-2.0,OK,permissive,https://github.com/eslint/rewrite,Nicholas C. Zakas
@eslint/plugin-kit,0.7.3,Apache-2.0,OK,permissive,https://github.com/eslint/rewrite,Nicholas C. Zakas
@exodus/bytes,1.16.0,MIT,OK,permissive,https://github.com/ExodusOSS/bytes,"Exodus Movement, Inc."
@ffmpeg/ffmpeg,0.12.15,MIT,OK,permissive,https://github.com/ffmpegwasm/ffmpeg.wasm,Jerome Wu
@ffmpeg/types,0.12.4,MIT,OK,permissive,https://github.com/ffmpegwasm/ffmpeg.wasm,Jerome Wu
@ffmpeg/util,0.12.2,MIT,OK,permissive,https://github.com/ffmpegwasm/ffmpeg.wasm,Jerome Wu
@humanfs/core,0.19.2,Apache-2.0,OK,permissive,https://github.com/humanwhocodes/humanfs,Nicholas C. Zakas
@humanfs/node,0.16.8,Apache-2.0,OK,permissive,https://github.com/humanwhocodes/humanfs,Nicholas C. Zakas
@humanfs/types,0.15.0,Apache-2.0,OK,permissive,https://github.com/humanwhocodes/humanfs,Nicholas C. Zakas
@humanwhocodes/module-importer,1.0.1,Apache-2.0,OK,permissive,https://github.com/humanwhocodes/module-importer,Nicholas C. Zaks
@humanwhocodes/retry,0.4.3,Apache-2.0,OK,permissive,https://github.com/humanwhocodes/retry,Nicholas C. Zaks
@jridgewell/gen-mapping,0.3.13,MIT,OK,permissive,https://github.com/jridgewell/sourcemaps,Justin Ridgewell
@jridgewell/remapping,2.3.5,MIT,OK,permissive,https://github.com/jridgewell/sourcemaps,Justin Ridgewell
@jridgewell/resolve-uri,3.1.2,MIT,OK,permissive,https://github.com/jridgewell/resolve-uri,Justin Ridgewell
@jridgewell/sourcemap-codec,1.6.0,MIT,OK,permissive,https://github.com/jridgewell/sourcemaps,Justin Ridgewell
@jridgewell/trace-mapping,0.3.31,MIT,OK,permissive,https://github.com/jridgewell/sourcemaps,Justin Ridgewell
@keyv/bigmap,1.3.1,MIT,OK,permissive,https://github.com/jaredwray/keyv,Jared Wray
@keyv/serialize,1.1.1,MIT,OK,permissive,https://github.com/jaredwray/keyv,Jared Wray
@oxc-parser/binding-linux-x64-gnu,0.150.0,MIT,OK,permissive,https://github.com/oxc-project/oxc,Boshen and oxc contributors
@oxc-project/types,0.150.0,MIT,OK,permissive,https://github.com/oxc-project/oxc,Boshen and oxc contributors
@oxc-project/types,0.151.0,MIT,OK,permissive,https://github.com/oxc-project/oxc,Boshen and oxc contributors
@oxc-resolver/binding-linux-x64-gnu,11.24.2,MIT,OK,permissive,https://github.com/oxc-project/oxc-resolver,
@polka/url,1.0.0-next.29,MIT,OK,permissive,https://github.com/lukeed/polka,Luke Edwards
@rolldown/binding-linux-x64-gnu,1.2.11,MIT,OK,permissive,https://github.com/rolldown/rolldown,
@rolldown/pluginutils,1.0.1,MIT,OK,permissive,https://github.com/rolldown/plugins,
@standard-schema/spec,1.1.0,MIT,OK,permissive,https://github.com/standard-schema/standard-schema,Colin McDonnell
